見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
見えない・見えにくい方のための交流サロン,,,,2月16日（土）13:30～15:30,和歌山ビッグ愛(和歌山市),見えない・見えにくい方とその家族、ボランティア,30人（先着順）,,,,郵送、電話、ファックス、Eメールで住所、氏名、年齢、電話番号を県点字図書館〒640-8319和歌山市手平2-1-2 和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731,,,,http://wakaten.jp/,,wakaten@wakaten.jp ,
難病の子ども家族会学習会,テーマ：医療的ケア児者の災害対策～東日本大震災を生き抜いたこどもたち～,,,2月23日（土）13:00～15:00,和歌山ビッグ愛（和歌山市）,病気や障害のある子供の家族、保健・医療・福祉・教育関係者、関心のある方,50人（先着順）,,,,電話、ファックスで氏名、電話番号、一時保育の有無を2月12日までに県難病の子ども家族会事務局電話073-445-0520　ファックス073-445-0603※手話通訳・要約筆記は要予約,,,,,,,
ゆうゆうおはなし会,絵本の読み聞かせや紙芝居,,,2月10・17・24日、3月3・10日いずれも日曜11:00～11:30,情報交流センターBig・U（田辺市）,乳幼児から小学低学年程度,,,,県立紀南図書館 電話0739-22-2061,,,,,https://www.lib.wakayama-c.ed.jp/kinan/index.html,,,
ふぉすた～サロン（保育士サロン）,保育士として再就職を検討されている方の意見交換の場,,,2月19日（火）10:00～11:00,和歌山ビッグ愛（和歌山市）,,,,,,電話で住所、氏名、電話番号を2月18日までに県福祉人材センターハートワーク電話073-435-5211,,,,http://wakayamakenshakyo.or.jp/~jinzai/,,,
障害者福祉バス（4～9月）,在宅障害者の社会参加を促進するための障害者福祉バスの利用申込,,,,,障害者とその介護者を合わせた人数が10人以上の障害者の団体,22回分（予定）（抽選）,,,,郵送、電話、ファックス、 Eメールで所定の申込書(申込先、ウェブサイトで配布)を2月28日までに県子ども・女性・障害者相談センター〒641-0014和歌山市毛見1437-218電話073-445-5311　ファックス073-446-0036Eメール　e0404021@pref.wakayama.lg.jp県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/040402/gaiyo.html,,e0404021@pref.wakayama.lg.jp,
県立橋本体育館教室無料体験,教室：(1)ベリーダンス(2)ヨガマルシェ(3)カキラ(4)バレエ・エクササイズ,,,(1)3月23日（土）14:00～15:15(2)28日（木）9:45～10:45(3)28日（木）11:00～12:00(4)29日（金）10:30～12:00,,(1)中学生以上の女性(2)(3)(4)18歳以上の方,(1)40人(2)(3)各30人(4)20人（先着順）,,,,来所、電話で県立橋本体育館（火曜休館） 橋本市北馬場455電話0736-32-9660,,,,http://www3.cypress.ne.jp/hp10703248/hasitai/hasitai-topA.htm,,,
わかやまテレワークフェア,先輩ワーカーとの交流会,,,(1)3月7日（木）10:00～12:00(2)3月8日（金）10:00～12:00,(1)情報交流センターBig・U（田辺市）(2) プラザホープ（和歌山市）,児・介護・療養中で在宅就労を希望されている方など ,各50人（先着順）,,,,申込・問い合わせ：郵送、電話、ファックス、Eメール、インターネットで所定の申込書（申込先、ウェブサイトで配布）を2月28日までに県庁労働政策課ファックス073-422-5004Eメール　e0606001@pref.wakayama.lg.jp※一時保育は要予約県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/060600/,,e0606001@pref.wakayama.lg.jp,
わかやま環境賞,地域、事業所、教育機関などで環境保全に積極的に取り組む方を表彰,,,,,県内を拠点とする団体・個人（選考）※自薦、他薦は不問,,,,,郵送、持参で所定の申込書（申込先、ウェブサイトで配布）を3月1日までに県庁環境生活総務課、県立保健所（支所）県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/032000/index.html,,,
県名匠表彰受賞記念展,松本濱次氏（桶製作）の功績や作品を紹介,,,2月20日（水）～25日（月）9:30～17:00 ※25日は15:00まで,県民文化会館（和歌山市）,,,,,,県庁文化学術課県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/022100/,,,
3・4月開始の職業訓練受講生,就職に有利な専門知識や技能を習得科目：(1)介護職員初任者養成科(2)溶接加工科(3)住環境計画科(4)電気設備技術科(5)介護訓練科（初級）（障害者対象）(6)介護初級科(7)オフィスパソコン基礎科（託児サービス有）(8)パソコン基礎科(9)介護職員初任者研修科,,,,(1)～(5)和歌山市(6)和歌山市、田辺市(7)岩出市(8)御坊市、田辺市(9)田辺市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認,,,,https://jsite.mhlw.go.jp/wakayama-roudoukyoku/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
